网民上网时间分布（2015.11.01~2015.11.30）,,,,,,,
时间段,浏览量占比,,,,,,3.11
00:00~00:59,3.11%,,,,,,3.09
01:00~01:59,2.01%,,,,,,3.07
02:00~02:59,1.41%,,,,,,3.05
03:00~03:59,1.11%,,,,,,3.03
04:00~04:59,0.97%,,,,,,3.01
05:00~05:59,1.03%,,,,,,2.99
06:00~06:59,1.45%,,,,,,2.97
07:00~07:59,2.24%,,,,,,2.95
08:00~08:59,3.63%,,,,,,2.94
09:00~09:59,4.79%,,,,,,2.92
10:00~10:59,5.29%,,,,,,2.9
11:00~11:59,5.29%,,,,,,2.88
12:00~12:59,5.29%,,,,,,2.86
13:00~13:59,5.43%,,,,,,2.84
14:00~14:59,5.53%,,,,,,2.82
15:00~15:59,5.65%,,,,,,2.8
16:00~16:59,5.64%,,,,,,2.78
17:00~17:59,5.38%,,,,,,2.76
18:00~18:59,5.55%,,,,,,2.74
19:00~19:59,6.19%,,,,,,2.73
20:00~20:59,6.48%,,,,,,2.71
21:00~21:59,6.39%,,,,,,2.69
22:00~22:59,5.71%,,,,,,2.67
23:00~23:59,4.43%,,,,,,2.65
,,,,,,,2.63
,,,,,,,2.61
,,,,,,,2.59
,,,,,,,2.58
,,,,,,,2.56
,,,,,,,2.54
,,,,,,,2.52
,,,,,,,2.5
,,,,,,,2.49
,,,,,,,2.47
,,,,,,,2.45
,,,,,,,2.43
,,,,,,,2.42
,,,,,,,2.4
,,,,,,,2.38
,,,,,,,2.36
,,,,,,,2.35
,,,,,,,2.33
,,,,,,,2.31
,,,,,,,2.3
,,,,,,,2.28
,,,,,,,2.26
,,,,,,,2.25
,,,,,,,2.23
,,,,,,,2.21
,,,,,,,2.2
,,,,,,,2.18
,,,,,,,2.17
,,,,,,,2.15
,,,,,,,2.14
,,,,,,,2.12
,,,,,,,2.1
,,,,,,,2.09
,,,,,,,2.08
,,,,,,,2.06
,,,,,,,2.05
,,,,,,,2.03
,,,,,,,2.02
,,,,,,,2
,,,,,,,1.99
,,,,,,,1.98
,,,,,,,1.96
,,,,,,,1.95
,,,,,,,1.94
,,,,,,,1.92
,,,,,,,1.91
,,,,,,,1.9
,,,,,,,1.89
,,,,,,,1.87
,,,,,,,1.86
,,,,,,,1.85
,,,,,,,1.84
,,,,,,,1.83
,,,,,,,1.82
,,,,,,,1.8
,,,,,,,1.79
,,,,,,,1.78
,,,,,,,1.77
,,,,,,,1.76
,,,,,,,1.75
,,,,,,,1.74
,,,,,,,1.73
,,,,,,,1.72
,,,,,,,1.71
,,,,,,,1.7
,,,,,,,1.69
,,,,,,,1.68
,,,,,,,1.67
,,,,,,,1.66
,,,,,,,1.65
,,,,,,,1.64
,,,,,,,1.63
,,,,,,,1.62
,,,,,,,1.61
,,,,,,,1.61
,,,,,,,1.6
,,,,,,,1.59
,,,,,,,1.58
,,,,,,,1.57
,,,,,,,1.56
,,,,,,,1.56
,,,,,,,1.55
,,,,,,,1.54
,,,,,,,1.53
,,,,,,,1.52
,,,,,,,1.52
,,,,,,,1.51
,,,,,,,1.5
,,,,,,,1.49
,,,,,,,1.49
,,,,,,,1.48
,,,,,,,1.47
,,,,,,,1.46
,,,,,,,1.46
,,,,,,,1.45
,,,,,,,1.44
,,,,,,,1.44
,,,,,,,1.43
,,,,,,,1.42
,,,,,,,1.42
,,,,,,,1.41
,,,,,,,1.4
,,,,,,,1.4
,,,,,,,1.39
,,,,,,,1.39
,,,,,,,1.38
,,,,,,,1.37
,,,,,,,1.37
,,,,,,,1.36
,,,,,,,1.36
,,,,,,,1.35
,,,,,,,1.34
,,,,,,,1.34
,,,,,,,1.33
,,,,,,,1.33
,,,,,,,1.32
,,,,,,,1.31
,,,,,,,1.31
,,,,,,,1.3
,,,,,,,1.3
